31|94
98|37
98|49
25|17
25|22
25|44
89|84
89|66
89|32
89|72
97|31
97|33
97|51
97|67
97|23
94|96
94|11
94|53
94|47
94|36
94|89
56|23
56|76
56|33
56|88
56|64
56|62
56|11
67|47
67|72
67|56
67|87
67|54
67|33
67|62
67|84
87|42
87|19
87|98
87|47
87|11
87|24
87|71
87|53
87|21
17|72
17|18
17|51
17|94
17|62
17|49
17|27
17|84
17|37
17|68
32|56
32|72
32|87
32|67
32|15
32|94
32|96
32|71
32|76
32|31
32|78
49|23
49|33
49|79
49|68
49|88
49|15
49|87
49|71
49|36
49|85
49|96
49|53
64|97
64|78
64|36
64|59
64|89
64|25
64|79
64|98
64|34
64|44
64|24
64|53
64|55
96|64
96|71
96|47
96|53
96|21
96|44
96|77
96|25
96|42
96|79
96|66
96|17
96|87
96|55
53|17
53|59
53|79
53|14
53|78
53|51
53|32
53|24
53|55
53|44
53|84
53|19
53|34
53|67
53|77
55|24
55|77
55|59
55|89
55|66
55|13
55|51
55|25
55|42
55|84
55|34
55|97
55|14
55|98
55|44
55|31
54|25
54|24
54|88
54|44
54|97
54|64
54|11
54|19
54|47
54|32
54|42
54|14
54|55
54|79
54|21
54|89
54|77
51|71
51|84
51|13
51|33
51|15
51|68
51|31
51|76
51|85
51|37
51|27
51|87
51|22
51|64
51|18
51|94
51|72
51|23
85|79
85|22
85|55
85|89
85|54
85|68
85|87
85|88
85|96
85|47
85|21
85|62
85|64
85|23
85|94
85|11
85|27
85|59
85|15
22|68
22|79
22|14
22|59
22|77
22|94
22|55
22|47
22|23
22|71
22|87
22|53
22|62
22|27
22|21
22|54
22|36
22|15
22|96
22|42
21|89
21|14
21|98
21|59
21|67
21|13
21|55
21|42
21|24
21|34
21|19
21|17
21|88
21|79
21|66
21|78
21|51
21|53
21|97
21|77
21|84
68|89
68|19
68|24
68|25
68|27
68|11
68|77
68|59
68|44
68|79
68|21
68|64
68|36
68|54
68|71
68|55
68|88
68|47
68|87
68|53
68|14
68|96
62|47
62|59
62|54
62|88
62|25
62|42
62|44
62|53
62|27
62|79
62|96
62|94
62|87
62|97
62|55
62|68
62|36
62|21
62|64
62|89
62|14
62|71
62|11
15|87
15|88
15|14
15|53
15|96
15|89
15|47
15|68
15|27
15|21
15|64
15|44
15|11
15|54
15|36
15|42
15|94
15|71
